Period_ID,Year,Quarter,Total_Subscribers_M,Subs_Flag,Active_Data_Subs_M,Data_Subs_Flag,Active_MoMo_Users_M,MoMo_Users_Flag,Data_Usage_GB_Per_User,Usage_Flag,Voice_MoU_Per_User,MoU_Flag,4G_Coverage_Pct,Coverage_Flag,Network_Sites,Sites_Flag,ARPU_GHS,ARPU_Flag
2020Q1,2020,Q1,22.6,I,9.8,I,11.2,I,3.2,I,165,I,82.5,I,5650,I,21.4,I
2020Q2,2020,Q2,23.1,I,10.4,I,11.9,I,3.4,I,168,I,84,I,5780,I,22,I
2020Q3,2020,Q3,23.8,I,11,I,12.5,I,3.7,I,170,I,85.5,I,5910,I,22.9,I
2020Q4,2020,Q4,24.1,I,11.4,I,12.8,I,4,I,172,I,87,I,6050,I,25.2,I
2021Q1,2021,Q1,24.5,I,12,I,13.3,I,4.3,I,170,I,88.5,I,6180,I,27,I
2021Q2,2021,Q2,24.9,I,12.5,I,13.8,I,4.6,I,168,I,90,I,6310,I,28.8,I
2021Q3,2021,Q3,25.3,I,13,I,14.2,I,4.9,I,165,I,91.5,I,6440,I,30.2,I
2021Q4,2021,Q4,25.7,I,13.5,I,14.6,I,5.3,I,163,I,93,I,6580,I,33.4,I
2022Q1,2022,Q1,26,I,14,I,14.9,I,5.6,I,160,I,94,I,6720,I,36.2,I
2022Q2,2022,Q2,26.2,I,14.4,I,15.1,I,5.9,I,158,I,94.8,I,6850,I,38.8,I
2022Q3,2022,Q3,26.4,I,14.7,I,15.2,I,6.2,I,155,I,95.5,I,6980,I,41.9,I
2022Q4,2022,Q4,26.5,I,15,I,15.3,I,6.6,I,153,I,96,I,7120,I,47.9,I
2023Q1,2023,Q1,26.7,I,15.2,I,15.4,I,7.1,I,150,I,96.5,I,7260,I,46.5,I
2023Q2,2023,Q2,26.9,I,15.4,I,15.5,I,7.6,I,148,I,97,I,7390,I,50.5,I
2023Q3,2023,Q3,27.1,I,15.7,I,15.6,I,8.2,I,145,I,97.5,I,7510,I,55.6,I
2023Q4,2023,Q4,27.2,I,16,I,15.7,I,8.9,I,143,I,98,I,7650,I,68.4,I
2024Q1,2024,Q1,27.5,I,16.3,I,16,I,9.2,I,140,I,98.3,I,7780,I,59.5,I
2024Q2,2024,Q2,27.8,I,16.6,I,16.4,I,9.6,I,138,I,98.6,I,7900,I,65.7,I
2024Q3,2024,Q3,28.2,I,17,I,16.8,I,10,I,135,I,98.9,I,8030,I,71.6,I
2024Q4,2024,Q4,28.5,R,17.5,R,17.2,R,10.5,I,138,I,99,R,8170,I,87.3,I
2025Q1,2025,Q1,29.4,I,17.8,I,17.4,I,12.5,I,150,I,99.1,I,8290,I,61.2,I
2025Q2,2025,Q2,30.2,R,18.2,R,17.7,R,14,R,160,R,99.3,R,8420,I,65.2,I
2025Q3,2025,Q3,30.7,E,19,E,18.5,E,14.5,E,155,E,99.4,E,8540,E,68.2,E
2025Q4,2025,Q4,31.2,R,19.9,R,19.3,R,15,R,158,R,99.5,R,8650,E,72.9,E
2026Q1,2026,Q1,31.993,R,,,,,,,,,99.5,E,,,76.6,E
